iter	Passed	Remaining
0	4	4248
1	8	4063
2	11	3931
3	16	4139
4	22	4407
5	26	4386
6	30	4307
7	34	4313
8	38	4261
9	43	4273
10	46	4162
11	50	4168
12	55	4212
13	59	4198
14	63	4140
15	66	4076
16	70	4061
17	73	3988
18	76	3944
19	78	3863
20	81	3785
21	83	3707
22	86	3666
23	88	3605
24	90	3547
25	92	3478
26	94	3392
27	95	3329
28	98	3281
29	100	3236
30	102	3199
31	104	3156
32	105	3104
33	107	3060
34	109	3014
35	111	2973
36	112	2926
37	114	2894
38	116	2869
39	118	2838
40	120	2826
41	123	2814
42	126	2808
43	127	2780
44	130	2775
45	133	2765
46	136	2759
47	138	2749
48	140	2732
49	143	2718
50	146	2720
51	148	2710
52	151	2698
53	152	2677
54	154	2647
55	156	2631
56	158	2621
57	160	2604
58	162	2587
59	164	2571
60	166	2558
61	169	2560
62	172	2563
63	174	2552
64	177	2548
65	179	2537
66	181	2534
67	184	2522
68	185	2508
69	187	2493
70	189	2476
71	191	2462
72	193	2451
73	194	2439
74	196	2427
75	198	2417
76	200	2408
77	202	2393
78	204	2378
79	205	2364
80	207	2355
81	209	2345
82	210	2325
83	212	2313
84	214	2304
85	216	2296
86	217	2286
87	219	2272
88	220	2261
89	222	2252
90	224	2245
91	226	2237
92	228	2232
93	230	2223
94	232	2213
95	233	2202
96	235	2190
97	236	2179
98	238	2168
99	240	2161
100	241	2152
101	243	2144
102	245	2135
103	246	2127
104	248	2118
105	250	2109
106	251	2101
107	253	2092
108	255	2086
109	257	2082
110	259	2078
111	261	2071
112	262	2059
113	264	2051
114	265	2045
115	267	2038
116	269	2030
117	270	2023
118	272	2017
119	273	2005
120	275	2000
121	277	1994
122	278	1986
123	280	1978
124	281	1970
125	283	1964
126	284	1958
127	286	1951
128	288	1947
129	290	1941
130	291	1935
131	293	1930
132	295	1923
133	296	1916
134	298	1909
135	299	1902
136	300	1895
137	303	1893
138	304	1887
139	306	1881
140	307	1875
141	309	1870
142	310	1863
143	312	1856
144	313	1850
145	315	1844
146	316	1839
147	318	1834
148	320	1829
149	321	1824
150	323	1818
151	324	1812
152	326	1808
153	328	1802
154	329	1796
155	331	1791
156	333	1788
157	335	1786
158	336	1781
159	338	1777
160	340	1773
161	341	1768
162	343	1763
163	345	1758
164	346	1753
165	347	1748
166	349	1743
167	351	1741
168	353	1736
169	354	1731
170	356	1726
171	357	1722
172	359	1717
173	360	1712
174	362	1707
175	363	1702
176	365	1697
177	367	1695
178	368	1691
179	370	1686
180	371	1683
181	373	1679
182	375	1675
183	376	1670
184	377	1665
185	379	1661
186	381	1657
187	383	1657
188	385	1655
189	387	1651
190	389	1648
191	391	1645
192	392	1641
193	393	1634
194	395	1631
195	396	1628
196	398	1624
197	400	1622
198	402	1618
199	403	1615
200	405	1611
201	406	1607
202	408	1604
203	410	1600
204	412	1597
205	413	1593
206	415	1591
207	417	1589
208	419	1586
209	420	1583
210	422	1579
211	423	1575
212	425	1572
213	427	1569
214	428	1565
215	430	1562
216	432	1560
217	434	1556
218	435	1553
219	437	1549
220	438	1546
221	439	1540
222	441	1537
223	442	1533
224	444	1530
225	445	1527
226	448	1525
227	449	1522
228	451	1519
229	452	1515
230	454	1512
231	455	1508
232	457	1505
233	458	1502
234	460	1499
235	462	1498
236	464	1496
237	466	1494
238	468	1493
239	471	1492
240	473	1490
241	475	1488
242	477	1487
243	479	1485
244	481	1483
245	482	1480
246	484	1478
247	486	1475
248	488	1472
249	489	1469
250	491	1467
251	493	1464
252	494	1460
253	496	1458
254	498	1456
255	500	1453
256	502	1451
257	504	1450
258	506	1449
259	508	1447
260	510	1444
261	512	1442
262	514	1441
263	515	1438
264	517	1435
265	520	1436
266	522	1434
267	524	1433
268	526	1431
269	528	1428
270	529	1425
271	531	1423
272	533	1421
273	535	1418
274	537	1415
275	538	1413
276	540	1410
277	542	1409
278	544	1407
279	546	1404
280	548	1402
281	549	1399
282	551	1397
283	553	1394
284	554	1391
285	556	1388
286	558	1386
287	559	1384
288	561	1381
289	563	1379
290	565	1376
291	566	1374
292	568	1370
293	569	1368
294	571	1365
295	572	1362
296	575	1361
297	576	1359
298	578	1356
299	580	1354
300	581	1351
301	583	1349
302	585	1346
303	586	1342
304	587	1338
305	589	1336
306	590	1333
307	592	1332
308	594	1329
309	596	1327
310	597	1324
311	599	1322
312	601	1320
313	603	1317
314	604	1315
315	606	1313
316	608	1311
317	610	1308
318	611	1305
319	613	1304
320	615	1301
321	616	1298
322	618	1296
323	620	1294
324	622	1292
325	624	1290
326	625	1288
327	627	1285
328	629	1283
329	630	1280
330	632	1278
331	634	1275
332	635	1273
333	637	1271
334	639	1268
335	640	1266
336	642	1263
337	644	1261
338	645	1259
339	647	1257
340	649	1254
341	650	1252
342	652	1250
343	654	1247
344	655	1244
345	657	1242
346	658	1239
347	660	1237
348	661	1234
349	663	1231
350	664	1229
351	666	1227
352	668	1225
353	670	1223
354	671	1220
355	673	1218
356	674	1215
357	676	1213
358	678	1211
359	679	1208
360	681	1206
361	682	1203
362	684	1201
363	686	1199
364	689	1198
365	691	1197
366	692	1194
367	694	1192
368	695	1189
369	697	1187
370	699	1185
371	700	1183
372	703	1182
373	705	1180
374	706	1178
375	708	1175
376	710	1173
377	711	1171
378	713	1169
379	715	1167
380	717	1165
381	719	1163
382	720	1161
383	722	1158
384	723	1156
385	725	1154
386	727	1152
387	729	1150
388	731	1148
389	732	1146
390	734	1144
391	736	1142
392	738	1140
393	739	1137
394	741	1135
395	742	1132
396	744	1131
397	746	1129
398	748	1127
399	750	1125
400	752	1123
401	753	1120
402	755	1118
403	756	1116
404	758	1114
405	759	1111
406	761	1109
407	763	1107
408	765	1106
409	767	1104
410	769	1102
411	771	1100
412	772	1098
413	774	1096
414	776	1094
415	778	1092
416	780	1091
417	784	1092
418	786	1090
419	788	1088
420	789	1086
421	791	1084
422	793	1082
423	795	1080
424	797	1078
425	799	1076
426	800	1074
427	802	1071
428	803	1069
429	805	1067
430	807	1065
431	808	1063
432	810	1060
433	812	1059
434	814	1057
435	815	1055
436	817	1053
437	819	1050
438	820	1048
439	822	1046
440	823	1044
441	825	1042
442	827	1040
443	829	1038
444	830	1036
445	832	1034
446	834	1032
447	836	1030
448	837	1027
449	839	1026
450	841	1023
451	842	1021
452	845	1020
453	846	1018
454	848	1016
455	850	1014
456	851	1012
457	852	1009
458	854	1006
459	855	1004
460	857	1003
461	859	1001
462	860	998
463	862	996
464	864	994
465	865	992
466	867	990
467	869	988
468	870	985
469	871	983
470	873	981
471	875	979
472	877	977
473	878	975
474	880	973
475	882	971
476	883	969
477	885	966
478	887	965
479	888	962
480	890	960
481	892	958
482	894	957
483	895	955
484	897	953
485	898	950
486	900	948
487	901	945
488	903	943
489	904	941
490	906	940
491	908	938
492	910	936
493	912	934
494	914	932
495	915	930
496	917	928
497	919	926
498	920	924
499	922	922
500	923	920
501	925	918
502	927	916
503	928	913
504	930	912
505	931	909
506	933	907
507	935	905
508	937	904
509	939	902
510	941	900
511	943	898
512	944	896
513	946	894
514	947	892
515	948	890
516	950	888
517	952	886
518	954	884
519	956	882
520	957	880
521	959	878
522	960	876
523	962	874
524	964	872
525	965	870
526	966	867
527	968	865
528	970	863
529	972	862
530	973	859
531	975	857
532	976	855
533	977	853
534	979	851
535	981	849
536	982	847
537	984	845
538	986	843
539	988	841
540	990	840
541	991	838
542	993	836
543	995	834
544	997	832
545	999	830
546	1002	829
547	1005	829
548	1006	827
549	1008	825
550	1010	823
551	1011	821
552	1013	819
553	1015	817
554	1017	815
555	1018	813
556	1020	811
557	1022	810
558	1024	808
559	1026	806
560	1027	803
561	1029	802
562	1030	799
563	1032	798
564	1035	796
565	1037	795
566	1039	793
567	1041	791
568	1043	790
569	1044	788
570	1046	786
571	1048	784
572	1050	782
573	1051	780
574	1053	778
575	1055	776
576	1056	774
577	1058	772
578	1060	770
579	1061	768
580	1063	767
581	1065	765
582	1067	763
583	1068	761
584	1070	759
585	1072	757
586	1073	755
587	1075	753
588	1076	751
589	1078	749
590	1080	747
591	1082	746
592	1084	744
593	1086	742
594	1087	740
595	1089	738
596	1090	735
597	1091	733
598	1093	731
599	1095	730
600	1097	728
601	1099	726
602	1100	724
603	1102	722
604	1103	720
605	1105	718
606	1106	716
607	1108	714
608	1110	712
609	1111	710
610	1113	708
611	1115	706
612	1117	705
613	1118	703
614	1120	701
615	1121	699
616	1123	697
617	1124	695
618	1126	693
619	1128	691
620	1130	689
621	1132	688
622	1133	686
623	1135	684
624	1137	682
625	1138	680
626	1140	678
627	1142	676
628	1143	674
629	1145	672
630	1147	670
631	1148	668
632	1150	667
633	1152	665
634	1154	663
635	1156	661
636	1157	659
637	1159	657
638	1161	656
639	1163	654
640	1165	652
641	1166	650
642	1168	648
643	1170	646
644	1172	645
645	1173	643
646	1176	641
647	1178	639
648	1180	638
649	1182	636
650	1183	634
651	1185	632
652	1187	631
653	1189	629
654	1191	627
655	1193	625
656	1194	623
657	1196	621
658	1198	620
659	1199	618
660	1201	616
661	1203	614
662	1204	612
663	1206	610
664	1208	608
665	1210	606
666	1212	605
667	1214	603
668	1215	601
669	1217	599
670	1219	597
671	1220	595
672	1222	594
673	1225	592
674	1227	590
675	1228	588
676	1230	587
677	1232	585
678	1233	583
679	1236	581
680	1237	579
681	1241	578
682	1243	577
683	1246	575
684	1250	575
685	1259	576
686	1263	575
687	1266	574
688	1273	574
689	1278	574
690	1281	573
691	1285	572
692	1289	571
693	1292	569
694	1295	568
695	1296	566
696	1299	565
697	1303	564
698	1307	562
699	1309	561
700	1311	559
701	1313	557
702	1314	555
703	1316	553
704	1318	551
705	1320	549
706	1322	548
707	1324	546
708	1326	544
709	1327	542
710	1329	540
711	1330	538
712	1333	536
713	1334	534
714	1336	532
715	1338	530
716	1340	528
717	1341	526
718	1343	524
719	1344	523
720	1346	521
721	1347	519
722	1350	517
723	1352	515
724	1353	513
725	1355	511
726	1357	509
727	1359	507
728	1361	505
729	1362	504
730	1365	502
731	1367	500
732	1368	498
733	1371	497
734	1373	495
735	1375	493
736	1377	491
737	1379	489
738	1381	487
739	1383	485
740	1385	484
741	1386	482
742	1388	480
743	1389	478
744	1391	476
745	1393	474
746	1395	472
747	1396	470
748	1398	468
749	1400	466
750	1402	465
751	1404	463
752	1405	461
753	1407	459
754	1408	457
755	1410	455
756	1421	456
757	1423	454
758	1425	452
759	1427	450
760	1429	449
761	1431	447
762	1433	445
763	1435	443
764	1437	441
765	1439	439
766	1442	438
767	1443	436
768	1445	434
769	1446	432
770	1448	430
771	1450	428
772	1451	426
773	1453	424
774	1455	422
775	1457	420
776	1459	418
777	1461	416
778	1463	415
779	1464	413
780	1466	411
781	1468	409
782	1470	407
783	1472	405
784	1474	403
785	1477	402
786	1478	400
787	1480	398
788	1482	396
789	1483	394
790	1485	392
791	1488	390
792	1489	388
793	1491	386
794	1493	385
795	1494	383
796	1496	381
797	1498	379
798	1500	377
799	1502	375
800	1504	373
801	1505	371
802	1507	369
803	1509	367
804	1510	366
805	1512	364
806	1514	362
807	1516	360
808	1518	358
809	1520	356
810	1522	354
811	1524	352
812	1525	350
813	1527	348
814	1528	347
815	1530	345
816	1532	343
817	1534	341
818	1536	339
819	1538	337
820	1540	335
821	1541	333
822	1543	331
823	1545	330
824	1547	328
825	1549	326
826	1550	324
827	1552	322
828	1554	320
829	1555	318
830	1557	316
831	1558	314
832	1560	312
833	1562	310
834	1563	309
835	1566	307
836	1567	305
837	1569	303
838	1571	301
839	1572	299
840	1574	297
841	1576	295
842	1578	293
843	1580	292
844	1582	290
845	1584	288
846	1586	286
847	1588	284
848	1589	282
849	1591	280
850	1592	278
851	1594	277
852	1596	275
853	1598	273
854	1600	271
855	1601	269
856	1603	267
857	1605	265
858	1607	263
859	1608	261
860	1610	259
861	1612	258
862	1614	256
863	1615	254
864	1616	252
865	1618	250
866	1620	248
867	1621	246
868	1623	244
869	1625	242
870	1626	240
871	1628	239
872	1631	237
873	1633	235
874	1634	233
875	1636	231
876	1638	229
877	1640	227
878	1642	226
879	1645	224
880	1648	222
881	1650	220
882	1652	218
883	1654	217
884	1657	215
885	1660	213
886	1662	211
887	1664	209
888	1665	208
889	1667	206
890	1669	204
891	1671	202
892	1674	200
893	1677	198
894	1679	197
895	1681	195
896	1683	193
897	1685	191
898	1688	189
899	1690	187
900	1693	186
901	1695	184
902	1697	182
903	1700	180
904	1701	178
905	1703	176
906	1705	174
907	1707	173
908	1709	171
909	1711	169
910	1713	167
911	1715	165
912	1717	163
913	1720	161
914	1722	160
915	1724	158
916	1727	156
917	1729	154
918	1731	152
919	1733	150
920	1735	148
921	1737	147
922	1740	145
923	1741	143
924	1743	141
925	1745	139
926	1747	137
927	1749	135
928	1751	133
929	1754	132
930	1757	130
931	1759	128
932	1762	126
933	1764	124
934	1766	122
935	1768	120
936	1771	119
937	1773	117
938	1775	115
939	1776	113
940	1779	111
941	1781	109
942	1783	107
943	1786	105
944	1789	104
945	1790	102
946	1792	100
947	1794	98
948	1796	96
949	1799	94
950	1802	92
951	1805	91
952	1807	89
953	1809	87
954	1811	85
955	1814	83
956	1816	81
957	1819	79
958	1821	77
959	1823	75
960	1826	74
961	1829	72
962	1831	70
963	1834	68
964	1836	66
965	1838	64
966	1840	62
967	1842	60
968	1845	59
969	1847	57
970	1850	55
971	1852	53
972	1855	51
973	1857	49
974	1859	47
975	1861	45
976	1864	43
977	1866	41
978	1869	40
979	1872	38
980	1875	36
981	1877	34
982	1879	32
983	1881	30
984	1884	28
985	1886	26
986	1888	24
987	1890	22
988	1892	21
989	1895	19
990	1897	17
991	1899	15
992	1902	13
993	1904	11
994	1905	9
995	1907	7
996	1910	5
997	1913	3
998	1915	1
999	1918	0
